Date,Strategy
2015-01-02,10000.0
2015-01-05,9960.961261117758
2015-01-06,9993.146612191662
2015-01-07,10046.762676617747
2015-01-08,10112.43747781475
2015-01-09,10147.489741501042
2015-01-12,10143.952112186566
2015-01-13,10140.169584662675
2015-01-14,10154.41120110502
2015-01-15,10252.853787469496
2015-01-16,10364.03152657599
2015-01-20,10468.243720090226
2015-01-21,10485.347248152912
2015-01-22,10590.211568528535
2015-01-23,10528.196788344703
2015-01-26,10521.602767122058
2015-01-27,10523.323088718043
2015-01-28,10471.358386444776
2015-01-29,10401.76231339013
2015-01-30,10459.319845851442
2015-02-02,10473.077058337201
2015-02-03,10464.605605489858
2015-02-04,10486.64938889379
2015-02-05,10534.06444452368
2015-02-06,10375.99586998664
2015-02-09,10342.734022187256
2015-02-10,10370.209900374824
2015-02-11,10326.996086482683
2015-02-12,10345.664053104521
2015-02-13,10308.620556337497
2015-02-17,10238.606499701153
2015-02-18,10318.93049579319
2015-02-19,10266.457383058636
2015-02-20,10281.272263595907
2015-02-23,10328.208594251542
2015-02-24,10394.088033577791
2015-02-25,10381.338236574911
2015-02-26,10396.03224008549
2015-02-27,10409.688811254055
2015-03-02,10323.86049902913
2015-03-03,10253.705320626099
2015-03-04,10256.748485449894
2015-03-05,10273.99602756509
2015-03-06,10044.063667195851
2015-03-09,10085.293626004983
2015-03-10,10056.084285441473
2015-03-11,10036.870203309225
2015-03-12,10133.662866633907
2015-03-13,10108.821248688486
2015-03-16,10219.925631163636
2015-03-17,10180.704022345188
2015-03-18,10376.882969375814
2015-03-19,10320.818840587692
2015-03-20,10415.92736565588
2015-03-23,10417.765374448381
2015-03-24,10364.856020504762
2015-03-25,10179.901062049865
2015-03-26,10147.468025238344
2015-03-27,10145.909405479697
2015-03-30,10144.036409923141
2015-03-31,10094.606189027458
2015-04-01,10147.377303044375
2015-04-02,10141.284101668482
2015-04-06,10243.369965823322
2015-04-07,10208.534231875825
2015-04-08,10208.882602111193
2015-04-09,10165.323769201168
2015-04-10,10220.574270804758
2015-04-13,10179.508742634282
2015-04-14,10188.369224488659
2015-04-15,10221.530791267385
2015-04-16,10207.080311538857
2015-04-17,10120.01750419671
2015-04-20,10200.051369374924
2015-04-21,10224.719142035568
2015-04-22,10248.306910104433
2015-04-23,10284.055590619446
2015-04-24,10308.32621696662
2015-04-27,10216.347575818274
2015-04-28,10236.328396301751
2015-04-29,10155.909289762565
2015-04-30,10039.683075581033
2015-05-01,10141.117221391367
2015-05-04,10158.10573081492
