Date,Strategy
2005-01-18,10000.0
2005-01-19,9938.126932426449
2005-01-20,9888.4539933972
2005-01-21,9853.607226652179
2005-01-24,9858.590247194023
2005-01-25,9855.679477503065
2005-01-26,9950.909235744155
2005-01-27,9969.589243898781
2005-01-28,9941.482283998712
2005-01-31,10007.121335276925
2005-02-01,10079.895751459535
2005-02-02,10123.766118975367
2005-02-03,10113.86661319819
2005-02-04,10201.447627981657
2005-02-07,10185.791046755492
2005-02-08,10224.881587670297
2005-02-09,10149.02147806408
2005-02-10,10192.438256222084
2005-02-11,10251.458550970907
2005-02-14,10296.20488763468
2005-02-15,10299.464540108891
2005-02-16,10327.311297195067
2005-02-17,10283.711361331581
2005-02-18,10301.008799723702
2005-02-22,10161.047603753845
2005-02-23,10207.718130305979
2005-02-24,10285.975817286053
2005-02-25,10421.233674893778
2005-02-28,10335.460052617202
2005-03-01,10365.048098808847
2005-03-02,10374.610092172095
2005-03-03,10350.225026142949
2005-03-04,10458.09615793408
2005-03-07,10492.42692598359
2005-03-08,10538.652698540574
2005-03-09,10469.862077663243
2005-03-10,10502.986352157051
2005-03-11,10513.028902803235
2005-03-14,10490.115115992989
2005-03-15,10413.295669363855
2005-03-16,10342.031134750983
2005-03-17,10383.922699736451
2005-03-18,10372.32586222237
2005-03-21,10332.885738290486
2005-03-22,10220.599536692738
2005-03-23,10215.715059288923
2005-03-24,10254.904819997671
2005-03-28,10266.536617469497
2005-03-29,10180.737459798918
2005-03-30,10329.020636428388
2005-03-31,10358.7310013011
2005-04-01,10349.441885339858
2005-04-04,10369.433688799572
2005-04-05,10444.002865670373
2005-04-06,10451.65957781709
2005-04-07,10527.341589649277
2005-04-08,10447.098211492203
2005-04-11,10485.621227325524
2005-04-12,10542.382189828464
2005-04-13,10477.67642583015
2005-04-14,10396.016069181154
2005-04-15,10268.136441630139
2005-04-18,10287.899921856144
2005-04-19,10385.0735213304
2005-04-20,10275.303682425125
2005-04-21,10416.485143589542
2005-04-22,10415.17812276841
2005-04-25,10479.93946230168
2005-04-26,10385.750390205449
2005-04-27,10412.63572244817
2005-04-28,10342.191965252643
2005-04-29,10470.94018063832
2005-05-02,10508.166231971498
2005-05-03,10472.267953257973
2005-05-04,10539.662704966753
2005-05-05,10528.098326951107
2005-05-06,10495.821960980153
2005-05-09,10572.775459777042
2005-05-10,10491.60779555546
2005-05-11,10535.884076101705
2005-05-12,10431.056066437446
2005-05-13,10337.436047615909
2005-05-16,10412.028154935644
2005-05-17,10442.150634285968
2005-05-18,10521.327862126624
