Date,Strategy
2005-04-18,10000.0
2005-04-19,10044.547533391755
2005-04-20,9918.520266850912
2005-04-21,10077.326342565812
2005-04-22,9987.797581899327
2005-04-25,10085.746015340686
2005-04-26,10003.289748599847
2005-04-27,10023.994372561086
2005-04-28,9984.95209768889
2005-04-29,10041.67540756298
2005-05-02,10105.926593548123
2005-05-03,10142.088642253364
2005-05-04,10223.238297741029
2005-05-05,10200.769488383492
2005-05-06,10167.715578906615
2005-05-09,10221.807398121295
2005-05-10,10152.851648213424
2005-05-11,10184.185303589515
2005-05-12,10110.138783065566
2005-05-13,10022.406549519797
2005-05-16,10110.61333643495
2005-05-17,10173.426564204781
2005-05-18,10285.009639222582
2005-05-19,10331.986854345758
2005-05-20,10257.791452878635
2005-05-23,10256.011393256531
2005-05-24,10281.619872813659
2005-05-25,10309.413361106004
2005-05-26,10271.455646738652
2005-05-27,10316.183775025342
2005-05-31,10269.001185108913
2005-06-01,10254.263469965612
2005-06-02,10382.474826731845
2005-06-03,10393.97510310464
2005-06-06,10465.245040164562
2005-06-07,10447.625171614947
2005-06-08,10436.029707935617
2005-06-09,10421.593777117027
2005-06-10,10495.89275008689
2005-06-13,10530.912939276883
2005-06-14,10489.194551348446
2005-06-15,10521.831974392559
2005-06-16,10685.968790370542
2005-06-17,10728.082738214627
2005-06-20,10733.316432765701
2005-06-21,10768.968747733106
2005-06-22,10757.351158024376
2005-06-23,10819.92909704167
2005-06-24,10791.081149916065
2005-06-27,10796.09782081193
2005-06-28,10695.497733076227
2005-06-29,10733.159607197696
2005-06-30,10692.446083175277
2005-07-01,10525.489001259246
2005-07-05,10430.528641137143
2005-07-06,10420.129035523001
2005-07-07,10448.554323457865
2005-07-08,10430.815941139983
2005-07-11,10497.307374102316
2005-07-12,10518.3696575194
2005-07-13,10453.155058824857
2005-07-14,10348.903555485422
2005-07-15,10383.35533497077
2005-07-18,10370.020983406794
2005-07-19,10348.46702926198
2005-07-20,10423.537063087037
2005-07-21,10469.437606119462
2005-07-22,10475.031064956771
2005-07-25,10485.593354541057
2005-07-26,10428.51716106795
2005-07-27,10473.0252527607
2005-07-28,10550.283229300569
2005-07-29,10559.364982694862
2005-08-01,10623.359537256401
2005-08-02,10632.813925362321
2005-08-03,10723.001513019857
2005-08-04,10751.619289480392
2005-08-05,10723.990550054235
2005-08-08,10662.764213189377
2005-08-09,10666.413580800916
2005-08-10,10735.55131403446
2005-08-11,10920.350659891232
2005-08-12,10932.472885209787
2005-08-15,10852.382836481036
2005-08-16,10940.116944878539
2005-08-17,10793.719394822121
2005-08-18,10779.63634876835
2005-08-19,10730.657322868316
2005-08-22,10754.359644458267
2005-08-23,10769.762036508764
2005-08-24,10729.65072860382
2005-08-25,10764.394641092209
2005-08-26,10735.552724295718
2005-08-29,10730.03972688773
2005-08-30,10607.044502645527
2005-08-31,10703.160727123097
2005-09-01,10887.893946843109
2005-09-02,10893.797496686102
2005-09-06,10900.131560260583
2005-09-07,10910.219481813627
2005-09-08,10967.45114174482
2005-09-09,11028.61806299699
2005-09-12,11035.6253942097
2005-09-13,10959.711415351685
2005-09-14,11047.560086635276
2005-09-15,11147.963693422817
2005-09-16,11237.401472537927
2005-09-19,11332.40434475195
2005-09-20,11324.54647307035
2005-09-21,11506.178991871779
2005-09-22,11351.263511234212
2005-09-23,11329.825170329048
2005-09-26,11394.383542190802
2005-09-27,11324.87087960282
2005-09-28,11453.244318053507
2005-09-29,11548.325126034351
2005-09-30,11458.628266807009
2005-10-03,11394.50832179294
2005-10-04,11394.273277929604
2005-10-05,11362.529127837248
2005-10-06,11543.142353271824
2005-10-07,11556.080642245983
2005-10-10,11504.239698627025
2005-10-11,11501.72698604939
2005-10-12,11440.714502865394
2005-10-13,11412.979446910582
2005-10-14,11478.173205304278
2005-10-17,11583.495254948557
2005-10-18,11490.001646013145
2005-10-19,11606.470786813628
2005-10-20,11503.79383728259
2005-10-21,11518.36501957165
2005-10-24,11644.093683616431
2005-10-25,11609.754935439085
2005-10-26,11580.095484214115
2005-10-27,11468.660627751695
2005-10-28,11651.687297162847
2005-10-31,11703.67705271834
2005-11-01,11648.899603999334
2005-11-02,11703.980747744441
2005-11-03,11734.450075747973
2005-11-04,11627.873624979722
2005-11-07,11689.44013828982
2005-11-08,11725.830436254295
2005-11-09,11872.29020541406
2005-11-10,11860.947424969618
