Date,Strategy
2005-02-16,10000.0
2005-02-17,9938.501036639938
2005-02-18,9935.3931693384
2005-02-22,9833.184715722356
2005-02-23,9895.299200800211
2005-02-24,9960.315375606884
2005-02-25,10079.080533663373
2005-02-28,10007.17279899237
2005-03-01,10027.20254387215
2005-03-02,10032.058301807998
2005-03-03,10041.117336833206
2005-03-04,10182.246435181289
2005-03-07,10184.347709019094
2005-03-08,10170.720555229898
2005-03-09,10062.964468784223
2005-03-10,10065.157383623115
2005-03-11,10039.862529509553
2005-03-14,10081.291711962387
2005-03-15,10018.254239114718
2005-03-16,9944.204255332617
2005-03-17,9964.030175161173
2005-03-18,9955.88421711118
2005-03-21,9890.26936751844
2005-03-22,9770.22797272735
2005-03-23,9736.960562839358
2005-03-24,9743.026003075487
2005-03-28,9737.997600133895
2005-03-29,9651.890786474441
2005-03-30,9801.192016057219
2005-03-31,9723.58626198454
2005-04-01,9687.431715628967
2005-04-04,9730.81861862301
2005-04-05,9901.566833241626
2005-04-06,9907.969189731113
2005-04-07,9956.132708978985
2005-04-08,9870.828505245077
2005-04-11,9894.975877454113
2005-04-12,9947.09875301533
2005-04-13,9817.519279355654
2005-04-14,9702.338256061457
2005-04-15,9554.521931477067
2005-04-18,9502.33834468249
2005-04-19,9508.479474237318
2005-04-20,9392.653943713209
2005-04-21,9521.454494662323
2005-04-22,9485.493367786794
2005-04-25,9517.419648282748
2005-04-26,9454.155914997022
2005-04-27,9515.664450982005
2005-04-28,9468.135172419936
2005-04-29,9597.877149050117
2005-05-02,9639.441488389517
2005-05-03,9633.069794500008
2005-05-04,9724.912774121482
2005-05-05,9719.22832264105
2005-05-06,9678.869741500932
2005-05-09,9747.610151664772
2005-05-10,9684.532720972931
2005-05-11,9724.321504338124
2005-05-12,9698.73991673685
2005-05-13,9631.613147366557
2005-05-16,9739.5403247737
2005-05-17,9745.666829047286
2005-05-18,9811.875323903952
2005-05-19,9789.011108355147
2005-05-20,9753.833594335865
2005-05-23,9798.60961883944
2005-05-24,9802.99088920261
2005-05-25,9795.536632183821
2005-05-26,9830.703746001334
2005-05-27,9860.32016964342
2005-05-31,9814.240747754091
2005-06-01,9892.610661558532
2005-06-02,9914.053853928406
2005-06-03,9889.339800232867
2005-06-06,9905.670260196008
2005-06-07,9901.06442756976
2005-06-08,9882.96840800603
2005-06-09,9931.133635930622
2005-06-10,9942.992086330572
2005-06-13,9978.304520973183
2005-06-14,9987.617114936345
2005-06-15,10026.145862823634
2005-06-16,10098.77168475282
2005-06-17,10154.62349790542
2005-06-20,10137.287073378686
2005-06-21,10107.123012284736
2005-06-22,10110.085967473846
2005-06-23,10038.764113439762
2005-06-24,9971.336015670939
2005-06-27,9979.977269740559
2005-06-28,10015.604978627916
2005-06-29,10012.092952617313
2005-06-30,9935.976479604962
2005-07-01,9950.87170323162
2005-07-05,10011.730879960029
2005-07-06,9935.612020338174
2005-07-07,9966.225047996886
2005-07-08,10048.95764250853
2005-07-11,10117.564029228988
2005-07-12,10135.92895989744
2005-07-13,10122.090111638207
2005-07-14,10098.90481044177
2005-07-15,10101.635838175696
2005-07-18,10058.725316596645
2005-07-19,10120.215475203922
2005-07-20,10185.57728371298
2005-07-21,10136.553775885588
2005-07-22,10210.634006543394
2005-07-25,10191.447159033021
2005-07-26,10185.404597551347
2005-07-27,10239.24291079271
2005-07-28,10305.89226547963
2005-07-29,10253.674208988457
2005-08-01,10268.923778947375
2005-08-02,10347.5869664663
2005-08-03,10374.538553853252
2005-08-04,10322.471353319088
2005-08-05,10258.217500398692
2005-08-08,10244.756698911233
2005-08-09,10285.700990873273
2005-08-10,10312.024854669524
2005-08-11,10398.002222212808
2005-08-12,10359.230692635583
2005-08-15,10349.978836533282
2005-08-16,10255.449031008444
2005-08-17,10205.259538936905
2005-08-18,10201.279717312604
2005-08-19,10217.065052942531
2005-08-22,10237.916909831814
2005-08-23,10197.927258715026
2005-08-24,10151.44836176529
2005-08-25,10166.951377456318
2005-08-26,10161.512016935927
2005-08-29,10221.73693812767
2005-08-30,10178.658668784208
2005-08-31,10289.933768223089
2005-09-01,10367.865806294358
2005-09-02,10338.314663194367
2005-09-06,10428.181257627484
2005-09-07,10449.384115276605
2005-09-08,10437.284746071893
2005-09-09,10530.88698544878
2005-09-12,10511.400983057047
2005-09-13,10427.558763041225
2005-09-14,10440.10268184334
2005-09-15,10461.518213275755
2005-09-16,10542.536058380841
2005-09-19,10547.866249440496
2005-09-20,10477.281152450138
2005-09-21,10453.002739589927
2005-09-22,10458.999986120807
2005-09-23,10465.538817619934
2005-09-26,10482.85008204004
2005-09-27,10487.867066495332
2005-09-28,10509.008152010856
2005-09-29,10616.87635059817
2005-09-30,10598.518393098795
2005-10-03,10582.817177110794
2005-10-04,10476.988637524175
2005-10-05,10322.734625250843
2005-10-06,10298.848683865508
2005-10-07,10298.570665360536
2005-10-10,10275.931554167188
2005-10-11,10203.128888513476
2005-10-12,10209.997432239235
2005-10-13,10243.500670040998
2005-10-14,10293.418067130586
2005-10-17,10302.170264243592
2005-10-18,10274.306209047008
2005-10-19,10373.303143870236
2005-10-20,10173.16759538975
2005-10-21,10238.924414643776
2005-10-24,10331.630781222384
2005-10-25,10275.71467026661
2005-10-26,10159.303824651004
