Date,Strategy
2015-01-02,10000.0
2015-01-05,9881.909322451524
2015-01-06,9793.959786980744
2015-01-07,9932.020894022173
2015-01-08,10128.543689658494
2015-01-09,10070.74564109274
2015-01-12,10000.67664281571
2015-01-13,9978.755818404907
2015-01-14,9933.80045814059
2015-01-15,9815.70678006827
2015-01-16,9945.263360250963
2015-01-20,9960.098036124118
2015-01-21,9979.619269854853
2015-01-22,10129.34273621975
2015-01-23,10101.99352585913
2015-01-26,10099.598909309043
2015-01-27,9899.510403886781
2015-01-28,9828.52104692024
2015-01-29,9871.983357909163
2015-01-30,9925.911748373623
2015-02-02,10012.606511660479
2015-02-03,10267.460192720879
2015-02-04,10124.055275743956
2015-02-05,10246.691258595098
2015-02-06,10194.772504837085
2015-02-09,10139.898502273143
2015-02-10,10294.69501413148
2015-02-11,10320.309787537755
2015-02-12,10420.81834438181
2015-02-13,10474.517055144972
2015-02-17,10505.693277996157
2015-02-18,10514.446648268067
2015-02-19,10540.66449361754
2015-02-20,10616.042112146191
2015-02-23,10637.199589346568
2015-02-24,10653.908012178015
2015-02-25,10613.791666301258
2015-02-26,10661.340775328956
2015-02-27,10619.457303405807
2015-03-02,10706.443027877755
2015-03-03,10628.273739360959
2015-03-04,10619.35632401279
2015-03-05,10627.857253655073
2015-03-06,10469.434077001417
2015-03-09,10524.081215726943
2015-03-10,10346.064274153416
2015-03-11,10306.516547170953
2015-03-12,10406.757580726622
2015-03-13,10361.8181686094
2015-03-16,10522.920926314218
2015-03-17,10511.286559067332
2015-03-18,10648.862286594536
2015-03-19,10649.040902359879
2015-03-20,10724.279072092495
2015-03-23,10711.0149587963
2015-03-24,10652.282532693755
2015-03-25,10413.767121225188
2015-03-26,10408.10126773371
2015-03-27,10439.930070981518
2015-03-30,10559.252965463837
2015-03-31,10426.062099580826
2015-04-01,10378.629302062553
2015-04-02,10391.692262012552
2015-04-06,10562.178544037504
2015-04-07,10562.386928478783
2015-04-08,10616.355234390483
2015-04-09,10662.329078081038
2015-04-10,10720.044044397366
2015-04-13,10681.388540574879
2015-04-14,10668.793787038934
2015-04-15,10735.574118622124
2015-04-16,10711.774346684742
2015-04-17,10584.91493655876
2015-04-20,10717.345990332116
2015-04-21,10619.322125690618
2015-04-22,10691.233195739727
2015-04-23,10732.270493599795
2015-04-24,10775.033268520663
2015-04-27,10718.859694091569
2015-04-28,10760.563479137201
2015-04-29,10693.378832356815
2015-04-30,10547.339699784457
2015-05-01,10679.735488322323
2015-05-04,10714.482963679176
2015-05-05,10562.832901615137
2015-05-06,10493.41985196866
2015-05-07,10559.76645314941
2015-05-08,10717.787674992747
2015-05-11,10685.690664318623
2015-05-12,10625.502653319
2015-05-13,10654.99694453372
2015-05-14,10813.290178993479
2015-05-15,10801.006339924448
2015-05-18,10857.318679130956
2015-05-19,10861.861308018317
2015-05-20,10870.296697441923
2015-05-21,10897.97858711697
2015-05-22,10883.96136887261
2015-05-26,10746.321763326903
2015-05-27,10914.727810244012
2015-05-28,10903.901651406451
2015-05-29,10842.897109028288
2015-06-01,10876.817720506167
2015-06-02,10838.468879799084
2015-06-03,10862.464227408895
2015-06-04,10772.098582330962
2015-06-05,10751.342669494481
2015-06-08,10658.642399345843
2015-06-09,10643.81705661638
2015-06-10,10795.050121336162
2015-06-11,10827.092003829444
2015-06-12,10720.137662271176
