Date,equity
2015-01-02,10000.0
2015-01-05,9770.315546185762
2015-01-06,9583.341444091204
2015-01-07,9739.451623124069
2015-01-08,10014.962561286686
2015-01-09,9893.022093963025
2015-01-12,9773.956964089728
2015-01-13,9760.561599403001
2015-01-14,9651.819899459531
2015-01-15,9456.679560322953
2015-01-16,9658.430294196605
2015-01-20,9699.935743559106
2015-01-21,9739.350008034375
2015-01-22,9983.134588762066
2015-01-23,10012.681673566827
2015-01-26,10020.659954376433
2015-01-27,9744.863386929115
2015-01-28,9637.60779642335
2015-01-29,9783.50709565059
2015-01-30,9630.958384969166
2015-02-02,9748.330853868401
2015-02-03,9930.656517106841
2015-02-04,9963.200082449957
2015-02-05,9860.091636558182
2015-02-06,9781.378715018498
2015-02-09,9767.796465573934
2015-02-10,9720.979631681788
2015-02-11,9745.412888205892
2015-02-12,9688.672925897221
2015-02-13,9620.984291965491
2015-02-17,9516.159211141412
2015-02-18,9560.865679869064
2015-02-19,9578.61585855953
2015-02-20,9645.15780141098
2015-02-23,9616.552266212619
2015-02-24,9652.708688727758
2015-02-25,9680.224147203859
2015-02-26,9662.375648991674
2015-02-27,9621.799456848557
2015-03-02,9714.973632526955
2015-03-03,9690.156245718072
2015-03-04,9728.264074506184
2015-03-05,9757.388356102841
2015-03-06,9747.472425362954
2015-03-09,9787.796083529362
2015-03-10,9915.202371353987
2015-03-11,10023.9857251735
2015-03-12,9984.327170342294
2015-03-13,10045.868238180978
2015-03-16,10032.562529852072
2015-03-17,10071.055086245198
2015-03-18,10014.981552843125
2015-03-19,10102.818181485029
2015-03-20,10024.876059139957
2015-03-23,9932.01527080209
2015-03-24,10003.88346076462
2015-03-25,9938.131197996307
2015-03-26,9890.728151098601
2015-03-27,9956.648188151968
2015-03-30,9998.543232810738
2015-03-31,10024.671827989194
2015-04-01,10107.823634176662
2015-04-02,9996.625310615784
2015-04-06,9922.914275036172
2015-04-07,10040.288490695142
2015-04-08,10049.689228704421
2015-04-09,10034.880612555597
2015-04-10,10058.643326404102
2015-04-13,10083.455596047224
2015-04-14,10080.734162810828
2015-04-15,10044.41653291774
2015-04-16,9961.475051221798
2015-04-17,10021.545897528746
2015-04-20,10192.271271571006
2015-04-21,10185.129330467733
2015-04-22,10229.260709028684
2015-04-23,10289.541752519966
2015-04-24,10351.49203549264
2015-04-27,10223.030123021652
2015-04-28,10250.276929861324
2015-04-29,10106.312144876561
